,Name,Address,Website,Phone,Rating,Reviews
230,Overture Crabtree," 4408 Marriott Dr, Raleigh, NC 27612",liveoverture.com,(919) 883-4324,2.9,8.0
231,Gorman Crossings," 3144 Avent Ferry Rd, Raleigh, NC 27606",trinitypropertiesapartments.com,(919) 851-8309,3.6,18.0
232,Revisn," 615 N Boylan Ave, Raleigh, NC 27603",revisn.com,(919) 999-0160,4.8,31.0
233,Trifecta Serviced Apartments | Room #202," 408 E Hargett St Apt #202, Raleigh, NC 27601",guestybookings.com,(919) 998-6793,,
234,511 Faye," 511 Fayetteville St, Raleigh, NC 27601",511faye.com,(919) 438-1670,4.3,11.0
235,Fairgate Apartments," 8924 Langwood Dr, Raleigh, NC 27613",fairgateapartments.com,(919) 847-4283,4.3,22.0
236,Mayfaire Apartments," 7813 Mayfaire Crest Ln, Raleigh, NC 27615",mayfaireapts.com,(919) 847-6177,4.4,14.0
237,Mariner's Crossing Apartment Homes," 5723 Magellan Way, Raleigh, NC 27612",marinerscrossingapartments.com,(844) 412-0562,3.6,38.0
238,The Village Apartments," 8810 Autumn Winds Dr, Raleigh, NC 27615",cr-thevillageapts.com,(919) 676-1266,3.4,67.0
239,Autumn Pointe Apartments," 3401 Bremer Hall Ct, Raleigh, NC 27615",autumnpointe.com,(919) 737-7203,4.5,68.0
240,Sterling Town Center," 7880 Triangle Promenade Dr, Raleigh, NC 27616",alapts.com,(984) 207-0989,3.2,60.0
241,River Birch at Town Center Apartments," 2611 Torquay Crossing, Raleigh, NC 27616",riverbirchattowncenter.com,(919) 635-1227,3.7,57.0
242,Autumn Ridge Apartments," 6100 Barrowood Dr, Raleigh, NC 27612",autumnridgeapts.net,(919) 827-1048,2.7,95.0
243,Five Points Cottages apartment rentals > Home," 2206 Bernard St, Raleigh, NC 27608",fivepointscottages.com,(919) 676-4008,,
244,Hunting Ridge Apartments," 1019 Fox Hunt Ln, Raleigh, NC 27615",huntingridgeapartments.com,(919) 847-0632,4.2,23.0
245,Six Forks Station Apartments," 8501 New Brunswick Ln, Raleigh, NC 27615",sixforksraleigh.com,(919) 568-5121,4.0,264.0
246,The Standard Raleigh," 3101 Hillsborough St, Raleigh, NC 27607",thestandardraleigh.com,(984) 227-8687,4.4,90.0
247,Bluestone Apartments," 6340 Piedra Dr, Raleigh, NC 27616",,,,
248,The Piedmont Raleigh," 7621 Triangle Promenade Dr, Raleigh, NC 27616",thepiedmontraleigh.com,(919) 827-0940,4.5,19.0
249,ARIUM Lake Lynn," 650 Lake Front Dr, Raleigh, NC 27613",ariumliving.com,(984) 205-4909,3.3,117.0
250,Brighton Pointe," 7510 Estey Rd, Raleigh, NC 27616",brightonpointeapts.com,(919) 646-6603,3.7,44.0
251,Highlands At Olde Raleigh," 4300 Furman Hall, Raleigh, NC 27612",highlandsatolderaleigh.com,(919) 783-9377,4.8,28.0
252,Ashley Park Apartments," 10300 Pine Lakes Ct, Raleigh, NC 27617",ashleyparkapartmenthomes.com,(919) 806-5674,3.6,95.0
253,Grove Hall - Wolf Ridge Apartments," North Carolina State University, 371 Initiative Way, Raleigh, NC 27606",housing.dasa.ncsu.edu,(919) 515-7434,4.3,3.0
254,Adara Alexander Place Apartments," 7610 Aura Loop #101, Raleigh, NC 27617",adaraalexanderplace.com,(919) 343-5433,4.8,139.0
255,Regatta at Lake Lynn," 3000 Inland Trail, Raleigh, NC 27613",regattaatlakelynn.com,(919) 781-4152,3.2,36.0
256,Amber Spring," 5000 Spring Forest Rd, Raleigh, NC 27616",evergreenconstructionco.com,(919) 977-1338,,
257,Amber Spring," 5000 Spring Forest Rd, Raleigh, NC 27616",evergreenconstructionco.com,(919) 977-1338,,
258,Berkeley Spring," 5521 Dixon Dr, Raleigh, NC 27609",evergreenconstructionco.com,(919) 786-1106,,
259,Lakeview Hall - Wolf Ridge Apartments," North Carolina State University, 1930 Initiative Way, Raleigh, NC 27606",housing.dasa.ncsu.edu,(919) 515-7434,4.6,5.0
260,Apartments," 3939 Glenwood Ave, Raleigh, NC 27612",,,,
261,Ripley Station," 3030 Ripley Station Way, Raleigh, NC 27610",dhic.org,(919) 231-3470,3.6,16.0
262,Wolf Village Apartments," North Carolina State University, 2730 Wolf Village Way, Raleigh, NC 27607",housing.dasa.ncsu.edu,(919) 513-9653,4.1,50.0
263,Driftwood Manor Pool," 1126 Schaub Dr, Raleigh, NC 27606",vgmurrayandcompany.com,(919) 851-4821,2.9,10.0
264,Riverwalk at Centennial," 3013 Avent Ferry Rd, Raleigh, NC 27606",,,,
265,Marshall Park," 3908 Key Ct, Raleigh, NC 27614",simpsonpropertygroup.com,,,
266,CoStar Group," Two Hannover Square, 434 Fayetteville St Suite 2110, Raleigh, NC 27601",costargroup.com,(844) 839-2127,1.0,1.0
267,Autumn Ridge," 6320 Chadford Dr, Raleigh, NC 27612",autumnridgeapts.net,(919) 782-2872,2.8,4.0
268,DHIC," Inc., 113 S Wilmington St, Raleigh, NC 27601",dhic.org,(919) 832-4345,2.3,9.0
269,Water Garden Park," 8109 Marvino Ln, Raleigh, NC 27613",watergarden-park.com,(919) 977-0276,3.3,11.0
270,Walk to State," 5301 Hillsborough St, Raleigh, NC 27606",walktostate.com,(855) 925-5537,2.6,30.0
271,North Shore," 1231 Capability Dr, Raleigh, NC 27606",northshoreraleigh.com,(919) 821-4665,4.0,1.0
272,Greystar," 4131 Parklake Ave #160, Raleigh, NC 27612",greystar.com,(919) 789-0897,2.5,12.0
273,Oakwood Corporate Housing," 4209 Lassiter Mill Rd, Raleigh, NC 27609",oakwood.com,(919) 803-7735,,
274,Wolf Village," Varsity Dr, Raleigh, NC 27607",housing.dasa.ncsu.edu,(919) 513-9653,4.0,1.0
275,Avent Ferry Residence Halls," 2110 Avent Ferry Rd, Raleigh, NC 27606",housing.dasa.ncsu.edu,(919) 515-2269,4.1,9.0
276,NC State University Housing," 1112 Pullen Hall, 201 Dan Allen Dr, Raleigh, NC 27695",housing.dasa.ncsu.edu,(919) 515-2440,2.6,14.0
277,Oakwood Temp Housing," 1300 Tribute Center Drive, Raleigh, NC 27612",oakwood.com,(877) 902-0832,,
278,United Property Management Llc," 1627 Navaho Dr, Raleigh, NC 27609",upmapartments.com,(919) 755-9155,2.7,15.0
279,Wolf Village Lot," Raleigh, NC 27607",housing.dasa.ncsu.edu,(919) 513-9653,,
280,The Studio by Ashton Woods," 4025 Lake Boone Trail #200, Raleigh, NC 27607",ashtonwoods.com,(984) 204-6177,4.7,6.0
281,Cortland Midtown East Pool," 1570 Atria Cir, Raleigh, NC 27604",,,,
282,Walk To State," 5301 Hillsborough St STE 201, Raleigh, NC 27606",walktostate.com,(919) 825-1776,4.8,22.0
283,904 Oberlin Residences," 904 Oberlin Rd, Raleigh, NC 27605",904oberlin.com,(919) 521-8877,5.0,1.0
284,Excel Property Management Inc," 1004 Bullard Ct # 106, Raleigh, NC 27615",excelpropertymanagement.com,(919) 878-0522,2.3,16.0
285,Evergreen Construction Company," 7706 Six Forks Rd, Raleigh, NC 27615",evergreenconstructionco.com,(919) 848-2041,5.0,2.0
286,Lake Johnson Park," 4601 Avent Ferry Rd, Raleigh, NC 27606",raleighnc.gov,(919) 233-2121,4.7,3077.0
287,North Carolina State University," Raleigh, NC 27695",ncsu.edu,(919) 515-2011,4.5,600.0
288,904 Oberlin," 7100 Six Forks Rd STE 225, Raleigh, NC 27615",904oberlin.com,(919) 278-7655,4.0,1.0
289,TownePlace Suites by Marriott Raleigh Southwest," 3771 Thistledown Dr, Raleigh, NC 27606",marriott.com,(984) 300-1410,,
290,ChargePoint Charging Station," 223 S West St, Raleigh, NC 27603",na.chargepoint.com,(888) 758-4389,,
291,Raleigh Marriott City Center," 500 Fayetteville St, Raleigh, NC 27601",marriott.com,(919) 833-1120,4.4,2519.0
292,ChargePoint Charging Station," 429 S Wilmington St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
293,ChargePoint Charging Station," 216 W Cabarrus St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
294,ChargePoint Charging Station," 233 S Wilmington St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
295,Marriott Hotel And Convention Center Dock," 205 W Cabarrus St, Raleigh, NC 27601",marriott.com,(919) 833-1120,4.4,113.0
296,ChargePoint Charging Station," 121 W Jones St, Raleigh, NC 27603",na.chargepoint.com,,,
297,CORT Furniture Rental," 1905 New Hope Church Rd Unit A, Raleigh, NC 27609",stores.cort.com,(919) 876-7550,3.9,66.0
298,904 Oberlin Residences," 904 Oberlin Rd, Raleigh, NC 27605",904oberlin.com,(919) 521-8877,5.0,1.0
299,Excel Property Management Inc," 1004 Bullard Ct # 106, Raleigh, NC 27615",excelpropertymanagement.com,(919) 878-0522,2.3,16.0
300,Evergreen Construction Company," 7706 Six Forks Rd, Raleigh, NC 27615",evergreenconstructionco.com,(919) 848-2041,5.0,2.0
301,Lake Johnson Park," 4601 Avent Ferry Rd, Raleigh, NC 27606",raleighnc.gov,(919) 233-2121,4.7,3077.0
302,North Carolina State University," Raleigh, NC 27695",ncsu.edu,(919) 515-2011,4.5,600.0
303,904 Oberlin," 7100 Six Forks Rd STE 225, Raleigh, NC 27615",904oberlin.com,(919) 278-7655,4.0,1.0
304,TownePlace Suites by Marriott Raleigh Southwest," 3771 Thistledown Dr, Raleigh, NC 27606",marriott.com,(984) 300-1410,,
305,ChargePoint Charging Station," 223 S West St, Raleigh, NC 27603",na.chargepoint.com,(888) 758-4389,,
306,Raleigh Marriott City Center," 500 Fayetteville St, Raleigh, NC 27601",marriott.com,(919) 833-1120,4.4,2519.0
307,ChargePoint Charging Station," 429 S Wilmington St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
308,ChargePoint Charging Station," 216 W Cabarrus St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
309,ChargePoint Charging Station," 233 S Wilmington St, Raleigh, NC 27601",na.chargepoint.com,(888) 758-4389,,
310,Marriott Hotel And Convention Center Dock," 205 W Cabarrus St, Raleigh, NC 27601",marriott.com,(919) 833-1120,4.4,113.0
311,ChargePoint Charging Station," 121 W Jones St, Raleigh, NC 27603",na.chargepoint.com,,,
